RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1745973020721	 	3.3.1
USER	Consultar estado de cuentas	2	START	1745973022946	1745973022946
USER	Consultar estado de cuentas	189	START	1745973023079	1745973023079
USER	Consultar estado de cuentas	184	START	1745973023079	1745973023079
USER	Consultar estado de cuentas	1	START	1745973022946	1745973022946
USER	Consultar estado de cuentas	6	START	1745973022947	1745973022947
USER	Consultar estado de cuentas	16	START	1745973022949	1745973022949
USER	Consultar estado de cuentas	137	START	1745973023075	1745973023075
USER	Consultar estado de cuentas	131	START	1745973023074	1745973023074
USER	Consultar estado de cuentas	21	START	1745973022953	1745973022953
USER	Consultar estado de cuentas	4	START	1745973022946	1745973022946
USER	Consultar estado de cuentas	8	START	1745973022947	1745973022947
USER	Consultar estado de cuentas	19	START	1745973022951	1745973022951
USER	Consultar estado de cuentas	187	START	1745973023079	1745973023079
REQUEST	21		ConsultarEstadoCuentas	1745973023050	1745973023593	KO	responseTimeInMillis.find.lessThanOrEqual(300), 543 is not less than or equal to 300
REQUEST	17		ConsultarEstadoCuentas	1745973023050	1745973023601	KO	responseTimeInMillis.find.lessThanOrEqual(300), 551 is not less than or equal to 300
REQUEST	140		ConsultarEstadoCuentas	1745973023076	1745973023631	KO	responseTimeInMillis.find.lessThanOrEqual(300), 555 is not less than or equal to 300
REQUEST	103		ConsultarEstadoCuentas	1745973023073	1745973023631	KO	responseTimeInMillis.find.lessThanOrEqual(300), 558 is not less than or equal to 300
REQUEST	125		ConsultarEstadoCuentas	1745973023076	1745973023631	KO	responseTimeInMillis.find.lessThanOrEqual(300), 555 is not less than or equal to 300
REQUEST	62		ConsultarEstadoCuentas	1745973023069	1745973023632	KO	responseTimeInMillis.find.lessThanOrEqual(300), 563 is not less than or equal to 300
USER	Consultar estado de cuentas	103	END	1745973023072	1745973023633
USER	Consultar estado de cuentas	17	END	1745973022950	1745973023633
USER	Consultar estado de cuentas	21	END	1745973022953	1745973023633
USER	Consultar estado de cuentas	125	END	1745973023074	1745973023633
USER	Consultar estado de cuentas	140	END	1745973023075	1745973023633
USER	Consultar estado de cuentas	62	END	1745973023069	1745973023633
REQUEST	49		ConsultarEstadoCuentas	1745973023068	1745973023635	KO	responseTimeInMillis.find.lessThanOrEqual(300), 567 is not less than or equal to 300
REQUEST	109		ConsultarEstadoCuentas	1745973023073	1745973023635	KO	responseTimeInMillis.find.lessThanOrEqual(300), 562 is not less than or equal to 300
USER	Consultar estado de cuentas	109	END	1745973023073	1745973023636
USER	Consultar estado de cuentas	49	END	1745973023067	1745973023636
REQUEST	29		ConsultarEstadoCuentas	1745973023066	1745973023637	KO	responseTimeInMillis.find.lessThanOrEqual(300), 571 is not less than or equal to 300
USER	Consultar estado de cuentas	29	END	1745973023065	1745973023638
REQUEST	99		ConsultarEstadoCuentas	1745973023076	1745973023656	KO	responseTimeInMillis.find.lessThanOrEqual(300), 580 is not less than or equal to 300
REQUEST	161		ConsultarEstadoCuentas	1745973023078	1745973023657	KO	responseTimeInMillis.find.lessThanOrEqual(300), 579 is not less than or equal to 300
USER	Consultar estado de cuentas	99	END	1745973023071	1745973023658
USER	Consultar estado de cuentas	161	END	1745973023077	1745973023659
