RUN	parabank.LoginTest	logintest	1745973045891	 	3.3.1
REQUEST	93		login	1745973060279	1745973060620	OK	 
USER	Login	93	END	1745973060278	1745973060621
USER	Login	97	START	1745973060737	1745973060737
REQUEST	94		login	1745973060400	1745973060740	OK	 
USER	Login	94	END	1745973060398	1745973060741
USER	Login	98	START	1745973060846	1745973060846
REQUEST	95		login	1745973060507	1745973060850	OK	 
USER	Login	95	END	1745973060506	1745973060851
REQUEST	96		login	1745973060619	1745973060950	OK	 
USER	Login	96	END	1745973060618	1745973060952
USER	Login	99	START	1745973060954	1745973060954
USER	Login	100	START	1745973061062	1745973061062
REQUEST	97		login	1745973060738	1745973061068	OK	 
USER	Login	97	END	1745973060737	1745973061069
USER	Login	101	START	1745973061171	1745973061171
REQUEST	98		login	1745973060847	1745973061220	OK	 
USER	Login	98	END	1745973060846	1745973061221
USER	Login	102	START	1745973061278	1745973061278
REQUEST	99		login	1745973060954	1745973061335	OK	 
USER	Login	99	END	1745973060954	1745973061337
USER	Login	103	START	1745973061388	1745973061388
REQUEST	100		login	1745973061062	1745973061395	OK	 
USER	Login	100	END	1745973061062	1745973061396
USER	Login	104	START	1745973061494	1745973061494
REQUEST	101		login	1745973061172	1745973061520	OK	 
USER	Login	101	END	1745973061171	1745973061522
REQUEST	102		login	1745973061279	1745973061582	OK	 
USER	Login	102	END	1745973061278	1745973061583
USER	Login	105	START	1745973061588	1745973061588
USER	Login	106	START	1745973061696	1745973061696
REQUEST	103		login	1745973061389	1745973061731	OK	 
USER	Login	103	END	1745973061388	1745973061733
USER	Login	107	START	1745973061789	1745973061789
REQUEST	104		login	1745973061494	1745973061805	OK	 
USER	Login	104	END	1745973061494	1745973061806
REQUEST	105		login	1745973061589	1745973061894	OK	 
USER	Login	105	END	1745973061588	1745973061895
USER	Login	108	START	1745973061898	1745973061898
USER	Login	109	START	1745973061989	1745973061989
REQUEST	106		login	1745973061696	1745973062030	OK	 
USER	Login	106	END	1745973061696	1745973062031
USER	Login	110	START	1745973062099	1745973062099
REQUEST	107		login	1745973061790	1745973062111	OK	 
USER	Login	107	END	1745973061789	1745973062112
USER	Login	111	START	1745973062192	1745973062192
REQUEST	108		login	1745973061899	1745973062240	OK	 
USER	Login	108	END	1745973061898	1745973062241
USER	Login	112	START	1745973062288	1745973062288
REQUEST	109		login	1745973061990	1745973062326	OK	 
USER	Login	109	END	1745973061989	1745973062327
USER	Login	113	START	1745973062392	1745973062392
REQUEST	110		login	1745973062100	1745973062449	OK	 
USER	Login	110	END	1745973062099	1745973062450
USER	Login	114	START	1745973062485	1745973062485
REQUEST	111		login	1745973062193	1745973062540	OK	 
USER	Login	111	END	1745973062192	1745973062541
USER	Login	115	START	1745973062578	1745973062578
REQUEST	112		login	1745973062289	1745973062629	OK	 
USER	Login	112	END	1745973062288	1745973062630
USER	Login	116	START	1745973062685	1745973062685
REQUEST	113		login	1745973062393	1745973062708	OK	 
USER	Login	113	END	1745973062392	1745973062709
USER	Login	117	START	1745973062778	1745973062778
REQUEST	114		login	1745973062486	1745973062805	OK	 
USER	Login	114	END	1745973062485	1745973062806
USER	Login	118	START	1745973062884	1745973062884
REQUEST	115		login	1745973062579	1745973062910	OK	 
