ASSERTION	AAIDAAEBAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
RUN	parabank.LoginTest	logintest	1746167524076	 	3.3.1
REQUEST	81		login	1746167525480	1746167526128	OK	 
USER	Login	81	END	1746167525479	1746167526129
USER	Login	100	END	1746167525481	1746167526129
REQUEST	72		login	1746167525478	1746167526131	OK	 
USER	Login	72	END	1746167525477	1746167526132
REQUEST	71		login	1746167525477	1746167526132	OK	 
USER	Login	71	END	1746167525477	1746167526133
REQUEST	12		login	1746167525457	1746167526134	OK	 
USER	Login	12	END	1746167525367	1746167526135
REQUEST	28		login	1746167525470	1746167526136	OK	 
USER	Login	28	END	1746167525470	1746167526137
REQUEST	19		login	1746167525457	1746167526514	OK	 
USER	Login	19	END	1746167525370	1746167526515
REQUEST	73		login	1746167525478	1746167527124	OK	 
REQUEST	93		login	1746167525480	1746167527124	OK	 
USER	Login	73	END	1746167525477	1746167527126
USER	Login	93	END	1746167525480	1746167527126
REQUEST	65		login	1746167525477	1746167527127	OK	 
REQUEST	46		login	1746167525474	1746167527127	OK	 
REQUEST	85		login	1746167525479	1746167527127	OK	 
REQUEST	29		login	1746167525471	1746167527127	OK	 
USER	Login	65	END	1746167525476	1746167527128
USER	Login	46	END	1746167525473	1746167527128
USER	Login	85	END	1746167525479	1746167527128
USER	Login	29	END	1746167525470	1746167527129
REQUEST	21		login	1746167525457	1746167527129	OK	 
REQUEST	80		login	1746167525479	1746167527129	OK	 
USER	Login	80	END	1746167525479	1746167527130
USER	Login	21	END	1746167525371	1746167527130
REQUEST	31		login	1746167525471	1746167527132	OK	 
REQUEST	75		login	1746167525478	1746167527132	OK	 
USER	Login	31	END	1746167525470	1746167527133
USER	Login	75	END	1746167525477	1746167527133
REQUEST	67		login	1746167525477	1746167527135	OK	 
USER	Login	67	END	1746167525476	1746167527136
REQUEST	13		login	1746167525457	1746167527137	OK	 
REQUEST	70		login	1746167525477	1746167527137	OK	 
USER	Login	13	END	1746167525367	1746167527137
USER	Login	70	END	1746167525477	1746167527137
USER	Login	101	START	1746167530394	1746167530394
USER	Login	107	START	1746167530395	1746167530395
USER	Login	103	START	1746167530395	1746167530395
USER	Login	102	START	1746167530394	1746167530394
USER	Login	108	START	1746167530396	1746167530396
USER	Login	106	START	1746167530395	1746167530395
USER	Login	104	START	1746167530395	1746167530395
USER	Login	109	START	1746167530398	1746167530398
USER	Login	110	START	1746167530398	1746167530398
USER	Login	112	START	1746167530399	1746167530399
USER	Login	111	START	1746167530399	1746167530399
USER	Login	113	START	1746167530399	1746167530399
USER	Login	114	START	1746167530399	1746167530399
USER	Login	116	START	1746167530399	1746167530399
USER	Login	118	START	1746167530399	1746167530399
USER	Login	119	START	1746167530400	1746167530400
USER	Login	121	START	1746167530400	1746167530400
USER	Login	120	START	1746167530400	1746167530400
USER	Login	122	START	1746167530400	1746167530400
USER	Login	123	START	1746167530400	1746167530400
USER	Login	117	START	1746167530399	1746167530399
USER	Login	124	START	1746167530401	1746167530401
USER	Login	126	START	1746167530401	1746167530401
USER	Login	127	START	1746167530401	1746167530401
USER	Login	128	START	1746167530401	1746167530401
USER	Login	129	START	1746167530401	1746167530401
USER	Login	125	START	1746167530401	1746167530401
USER	Login	130	START	1746167530401	1746167530401
USER	Login	131	START	1746167530402	1746167530402
USER	Login	134	START	1746167530402	1746167530402
USER	Login	135	START	1746167530402	1746167530402
USER	Login	137	START	1746167530402	1746167530402
USER	Login	136	START	1746167530402	1746167530402
USER	Login	139	START	1746167530402	1746167530402
USER	Login	138	START	1746167530402	1746167530402
USER	Login	140	START	1746167530403	1746167530403
USER	Login	142	START	1746167530403	1746167530403
USER	Login	141	START	1746167530403	1746167530403
USER	Login	143	START	1746167530403	1746167530403
USER	Login	144	START	1746167530403	1746167530403
USER	Login	145	START	1746167530403	1746167530403
USER	Login	146	START	1746167530404	1746167530404
USER	Login	148	START	1746167530404	1746167530404
USER	Login	149	START	1746167530404	1746167530404
USER	Login	150	START	1746167530404	1746167530404
USER	Login	151	START	1746167530404	1746167530404
USER	Login	132	START	1746167530402	1746167530402
USER	Login	153	START	1746167530404	1746167530404
USER	Login	155	START	1746167530405	1746167530405
USER	Login	154	START	1746167530405	1746167530405
USER	Login	152	START	1746167530404	1746167530404
USER	Login	156	START	1746167530405	1746167530405
USER	Login	158	START	1746167530405	1746167530405
USER	Login	157	START	1746167530405	1746167530405
USER	Login	159	START	1746167530405	1746167530405
USER	Login	160	START	1746167530406	1746167530406
USER	Login	161	START	1746167530406	1746167530406
USER	Login	163	START	1746167530406	1746167530406
USER	Login	162	START	1746167530406	1746167530406
USER	Login	164	START	1746167530406	1746167530406
USER	Login	165	START	1746167530406	1746167530406
USER	Login	168	START	1746167530407	1746167530407
USER	Login	169	START	1746167530407	1746167530407
USER	Login	170	START	1746167530407	1746167530407
USER	Login	167	START	1746167530407	1746167530407
USER	Login	166	START	1746167530406	1746167530406
USER	Login	173	START	1746167530408	1746167530408
USER	Login	172	START	1746167530408	1746167530408
USER	Login	171	START	1746167530408	1746167530408
USER	Login	174	START	1746167530408	1746167530408
USER	Login	175	START	1746167530408	1746167530408
USER	Login	177	START	1746167530409	1746167530409
USER	Login	178	START	1746167530409	1746167530409
USER	Login	176	START	1746167530409	1746167530409
USER	Login	179	START	1746167530409	1746167530409
USER	Login	182	START	1746167530409	1746167530409
USER	Login	181	START	1746167530409	1746167530409
USER	Login	183	START	1746167530410	1746167530410
USER	Login	180	START	1746167530409	1746167530409
USER	Login	186	START	1746167530411	1746167530411
USER	Login	184	START	1746167530410	1746167530410
USER	Login	187	START	1746167530411	1746167530411
USER	Login	189	START	1746167530411	1746167530411
USER	Login	188	START	1746167530411	1746167530411
USER	Login	190	START	1746167530412	1746167530412
USER	Login	185	START	1746167530410	1746167530410
USER	Login	192	START	1746167530412	1746167530412
USER	Login	191	START	1746167530412	1746167530412
USER	Login	193	START	1746167530412	1746167530412
USER	Login	194	START	1746167530412	1746167530412
USER	Login	197	START	1746167530412	1746167530412
USER	Login	196	START	1746167530412	1746167530412
USER	Login	198	START	1746167530413	1746167530413
USER	Login	199	START	1746167530413	1746167530413
USER	Login	147	START	1746167530404	1746167530404
USER	Login	200	START	1746167530413	1746167530413
USER	Login	195	START	1746167530412	1746167530412
USER	Login	133	START	1746167530402	1746167530402
USER	Login	115	START	1746167530414	1746167530414
USER	Login	105	START	1746167530395	1746167530395
REQUEST	114		login	1746167530399	1746167530798	OK	 
USER	Login	114	END	1746167530399	1746167530799
REQUEST	107		login	1746167530396	1746167530800	OK	 
USER	Login	107	END	1746167530395	1746167530802
REQUEST	110		login	1746167530399	1746167530809	OK	 
USER	Login	110	END	1746167530398	1746167530810
REQUEST	137		login	1746167530402	1746167530811	OK	 
REQUEST	143		login	1746167530403	1746167530811	OK	 
USER	Login	137	END	1746167530402	1746167530811
USER	Login	143	END	1746167530403	1746167530811
REQUEST	113		login	1746167530399	1746167530816	OK	 
USER	Login	113	END	1746167530399	1746167530817
REQUEST	119		login	1746167530400	1746167530819	OK	 
USER	Login	119	END	1746167530400	1746167530819
REQUEST	103		login	1746167530396	1746167530822	OK	 
USER	Login	103	END	1746167530395	1746167530823
REQUEST	141		login	1746167530403	1746167530823	OK	 
USER	Login	141	END	1746167530403	1746167530823
REQUEST	181		login	1746167530409	1746167530826	OK	 
REQUEST	159		login	1746167530406	1746167530826	OK	 
USER	Login	181	END	1746167530409	1746167530826
USER	Login	159	END	1746167530405	1746167530827
REQUEST	123		login	1746167530400	1746167530828	OK	 
USER	Login	123	END	1746167530400	1746167530829
REQUEST	149		login	1746167530404	1746167530832	OK	 
USER	Login	149	END	1746167530404	1746167530832
REQUEST	156		login	1746167530405	1746167530836	OK	 
USER	Login	156	END	1746167530405	1746167530837
REQUEST	129		login	1746167530402	1746167530841	OK	 
USER	Login	129	END	1746167530401	1746167530842
REQUEST	146		login	1746167530404	1746167530845	OK	 
REQUEST	153		login	1746167530405	1746167530845	OK	 
REQUEST	161		login	1746167530406	1746167530845	OK	 
USER	Login	146	END	1746167530404	1746167530846
USER	Login	161	END	1746167530406	1746167530846
USER	Login	153	END	1746167530404	1746167530846
REQUEST	106		login	1746167530397	1746167530847	OK	 
USER	Login	106	END	1746167530395	1746167530847
REQUEST	135		login	1746167530402	1746167530848	OK	 
USER	Login	135	END	1746167530402	1746167530849
REQUEST	124		login	1746167530401	1746167530883	OK	 
USER	Login	124	END	1746167530401	1746167530884
REQUEST	144		login	1746167530403	1746167530888	OK	 
REQUEST	157		login	1746167530406	1746167530888	OK	 
REQUEST	117		login	1746167530400	1746167530888	OK	 
REQUEST	180		login	1746167530409	1746167530888	OK	 
USER	Login	117	END	1746167530399	1746167530889
USER	Login	180	END	1746167530409	1746167530889
USER	Login	144	END	1746167530403	1746167530889
USER	Login	157	END	1746167530405	1746167530889
REQUEST	194		login	1746167530412	1746167530899	OK	 
REQUEST	189		login	1746167530411	1746167530899	OK	 
USER	Login	194	END	1746167530412	1746167530900
USER	Login	189	END	1746167530411	1746167530900
REQUEST	176		login	1746167530409	1746167530902	OK	 
USER	Login	176	END	1746167530409	1746167530903
REQUEST	109		login	1746167530399	1746167530912	OK	 
REQUEST	120		login	1746167530400	1746167530912	OK	 
REQUEST	165		login	1746167530407	1746167530912	OK	 
USER	Login	120	END	1746167530400	1746167530913
USER	Login	165	END	1746167530406	1746167530913
USER	Login	109	END	1746167530398	1746167530913
REQUEST	108		login	1746167530397	1746167530915	OK	 
USER	Login	108	END	1746167530396	1746167530915
REQUEST	145		login	1746167530404	1746167530924	OK	 
REQUEST	116		login	1746167530400	1746167530924	OK	 
REQUEST	152		login	1746167530405	1746167530924	OK	 
USER	Login	116	END	1746167530399	1746167530925
USER	Login	152	END	1746167530404	1746167530925
USER	Login	145	END	1746167530403	1746167530925
REQUEST	132		login	1746167530402	1746167530930	OK	 
USER	Login	132	END	1746167530402	1746167530931
REQUEST	102		login	1746167530396	1746167530932	OK	 
REQUEST	125		login	1746167530402	1746167530932	OK	 
USER	Login	125	END	1746167530401	1746167530932
USER	Login	102	END	1746167530394	1746167530932
REQUEST	179		login	1746167530409	1746167530940	OK	 
REQUEST	111		login	1746167530399	1746167530940	OK	 
REQUEST	101		login	1746167530396	1746167530940	OK	 
USER	Login	101	END	1746167530394	1746167530940
USER	Login	179	END	1746167530409	1746167530940
USER	Login	111	END	1746167530399	1746167530940
REQUEST	138		login	1746167530403	1746167530943	OK	 
USER	Login	138	END	1746167530402	1746167530944
REQUEST	126		login	1746167530401	1746167530945	OK	 
REQUEST	148		login	1746167530404	1746167530945	OK	 
USER	Login	126	END	1746167530401	1746167530946
USER	Login	148	END	1746167530404	1746167530946
REQUEST	169		login	1746167530407	1746167530947	OK	 
USER	Login	169	END	1746167530407	1746167530948
REQUEST	175		login	1746167530409	1746167530950	OK	 
USER	Login	175	END	1746167530408	1746167530951
REQUEST	191		login	1746167530412	1746167530992	OK	 
USER	Login	191	END	1746167530412	1746167530993
REQUEST	112		login	1746167530399	1746167530997	OK	 
USER	Login	112	END	1746167530399	1746167530998
REQUEST	163		login	1746167530406	1746167531000	OK	 
REQUEST	182		login	1746167530410	1746167531000	OK	 
REQUEST	196		login	1746167530413	1746167531000	OK	 
USER	Login	163	END	1746167530406	1746167531001
USER	Login	182	END	1746167530409	1746167531001
USER	Login	196	END	1746167530412	1746167531001
REQUEST	185		login	1746167530411	1746167531003	OK	 
USER	Login	185	END	1746167530410	1746167531004
REQUEST	195		login	1746167530413	1746167531006	OK	 
REQUEST	134		login	1746167530402	1746167531006	OK	 
REQUEST	188		login	1746167530411	1746167531006	OK	 
REQUEST	197		login	1746167530413	1746167531006	OK	 
REQUEST	139		login	1746167530403	1746167531006	OK	 
USER	Login	197	END	1746167530412	1746167531007
USER	Login	139	END	1746167530402	1746167531007
USER	Login	195	END	1746167530412	1746167531007
USER	Login	188	END	1746167530411	1746167531007
USER	Login	134	END	1746167530402	1746167531007
REQUEST	155		login	1746167530405	1746167531010	OK	 
REQUEST	150		login	1746167530404	1746167531010	OK	 
USER	Login	150	END	1746167530404	1746167531010
USER	Login	155	END	1746167530405	1746167531011
REQUEST	160		login	1746167530406	1746167531012	OK	 
REQUEST	115		login	1746167530415	1746167531012	OK	 
USER	Login	115	END	1746167530414	1746167531013
USER	Login	160	END	1746167530406	1746167531013
REQUEST	133		login	1746167530415	1746167531016	OK	 
REQUEST	158		login	1746167530406	1746167531016	OK	 
REQUEST	130		login	1746167530402	1746167531016	OK	 
USER	Login	130	END	1746167530401	1746167531017
