ASSERTION	AAICAAMBAAAAAAAAAFlA
RUN	parabank.EscalabilidadEnTransaccTest	escalabilidadentransacctest	1745973029508	 	3.3.1
REQUEST	53		EscalabilidadEnTransacc	1745973031459	1745973032105	OK	 
USER	Probar escalabilidad en transacciones	53	END	1745973031458	1745973032106
USER	Probar escalabilidad en transacciones	150	START	1745973032110	1745973032110
USER	Probar escalabilidad en transacciones	151	START	1745973032110	1745973032110
USER	Probar escalabilidad en transacciones	152	START	1745973032113	1745973032113
REQUEST	65		EscalabilidadEnTransacc	1745973031524	1745973032125	OK	 
USER	Probar escalabilidad en transacciones	153	START	1745973032125	1745973032125
USER	Probar escalabilidad en transacciones	154	START	1745973032125	1745973032125
USER	Probar escalabilidad en transacciones	65	END	1745973031523	1745973032127
REQUEST	64		EscalabilidadEnTransacc	1745973031520	1745973032128	OK	 
REQUEST	63		EscalabilidadEnTransacc	1745973031520	1745973032129	OK	 
USER	Probar escalabilidad en transacciones	64	END	1745973031519	1745973032129
USER	Probar escalabilidad en transacciones	63	END	1745973031519	1745973032130
REQUEST	76		EscalabilidadEnTransacc	1745973031595	1745973032137	OK	 
REQUEST	74		EscalabilidadEnTransacc	1745973031584	1745973032138	OK	 
USER	Probar escalabilidad en transacciones	74	END	1745973031583	1745973032139
USER	Probar escalabilidad en transacciones	76	END	1745973031594	1745973032140
USER	Probar escalabilidad en transacciones	155	START	1745973032142	1745973032142
USER	Probar escalabilidad en transacciones	156	START	1745973032143	1745973032143
USER	Probar escalabilidad en transacciones	157	START	1745973032143	1745973032143
REQUEST	66		EscalabilidadEnTransacc	1745973031555	1745973032144	OK	 
REQUEST	85		EscalabilidadEnTransacc	1745973031661	1745973032144	OK	 
USER	Probar escalabilidad en transacciones	85	END	1745973031660	1745973032145
USER	Probar escalabilidad en transacciones	66	END	1745973031554	1745973032145
REQUEST	88		EscalabilidadEnTransacc	1745973031676	1745973032152	OK	 
REQUEST	87		EscalabilidadEnTransacc	1745973031676	1745973032152	OK	 
USER	Probar escalabilidad en transacciones	87	END	1745973031675	1745973032153
USER	Probar escalabilidad en transacciones	88	END	1745973031675	1745973032153
REQUEST	83		EscalabilidadEnTransacc	1745973031660	1745973032154	OK	 
USER	Probar escalabilidad en transacciones	83	END	1745973031659	1745973032155
USER	Probar escalabilidad en transacciones	158	START	1745973032160	1745973032160
USER	Probar escalabilidad en transacciones	159	START	1745973032163	1745973032163
USER	Probar escalabilidad en transacciones	160	START	1745973032163	1745973032163
USER	Probar escalabilidad en transacciones	161	START	1745973032176	1745973032176
USER	Probar escalabilidad en transacciones	163	START	1745973032192	1745973032192
USER	Probar escalabilidad en transacciones	162	START	1745973032192	1745973032192
USER	Probar escalabilidad en transacciones	164	START	1745973032193	1745973032193
REQUEST	101		EscalabilidadEnTransacc	1745973031774	1745973032197	OK	 
USER	Probar escalabilidad en transacciones	101	END	1745973031773	1745973032198
REQUEST	97		EscalabilidadEnTransacc	1745973031741	1745973032205	OK	 
USER	Probar escalabilidad en transacciones	97	END	1745973031740	1745973032206
REQUEST	105		EscalabilidadEnTransacc	1745973031794	1745973032209	OK	 
