ASSERTION	AAMAARNMb2dpbiAxMDAvbG9naW5fMTAwAwABAQEAAAAAAABAn0A=
ASSERTION	AAMAARNMb2dpbiAyMDAvbG9naW5fMjAwAwABAQEAAAAAAACIs0A=
RUN	parabank.LoginTest	logintest	1746084763436	 	3.3.1
GROUP	123	Login 200	1746084765276	1746084765934	658	OK
USER	Carga Pico	123	END	1746084765276	1746084765935
REQUEST	208	Login 200	login_200	1746084765285	1746084765937	OK	 
GROUP	208	Login 200	1746084765285	1746084765937	652	OK
REQUEST	94	Login 100	login_100	1746084765273	1746084765938	OK	 
USER	Carga Pico	208	END	1746084765285	1746084765938
GROUP	94	Login 100	1746084765272	1746084765938	665	OK
REQUEST	256	Login 200	login_200	1746084765293	1746084765939	OK	 
GROUP	256	Login 200	1746084765292	1746084765939	646	OK
USER	Carga Normal	94	END	1746084765272	1746084765939
USER	Carga Pico	256	END	1746084765292	1746084765940
REQUEST	116	Login 200	login_200	1746084765275	1746084765943	OK	 
GROUP	116	Login 200	1746084765275	1746084765944	668	OK
USER	Carga Pico	116	END	1746084765275	1746084765944
REQUEST	68	Login 100	login_100	1746084765269	1746084765947	OK	 
GROUP	68	Login 100	1746084765269	1746084765948	678	OK
USER	Carga Normal	68	END	1746084765268	1746084765949
REQUEST	39	Login 100	login_100	1746084765264	1746084765957	OK	 
REQUEST	17	Login 100	login_100	1746084765243	1746084765957	OK	 
GROUP	39	Login 100	1746084765264	1746084765957	693	OK
GROUP	17	Login 100	1746084765125	1746084765957	714	OK
REQUEST	84	Login 100	login_100	1746084765271	1746084765957	OK	 
GROUP	84	Login 100	1746084765271	1746084765958	686	OK
USER	Carga Normal	39	END	1746084765264	1746084765958
USER	Carga Normal	17	END	1746084765115	1746084765958
USER	Carga Normal	84	END	1746084765271	1746084765958
REQUEST	86	Login 100	login_100	1746084765271	1746084765959	OK	 
GROUP	86	Login 100	1746084765271	1746084765959	688	OK
USER	Carga Normal	86	END	1746084765271	1746084765960
REQUEST	12	Login 100	login_100	1746084765243	1746084765964	OK	 
GROUP	12	Login 100	1746084765125	1746084765964	721	OK
USER	Carga Normal	12	END	1746084765114	1746084765966
REQUEST	148	Login 200	login_200	1746084765279	1746084765967	OK	 
REQUEST	91	Login 100	login_100	1746084765272	1746084765967	OK	 
REQUEST	1	Login 100	login_100	1746084765242	1746084765967	OK	 
GROUP	148	Login 200	1746084765278	1746084765967	688	OK
GROUP	91	Login 100	1746084765272	1746084765967	695	OK
GROUP	1	Login 100	1746084765125	1746084765967	725	OK
USER	Carga Normal	1	END	1746084765112	1746084765968
USER	Carga Pico	148	END	1746084765278	1746084765968
USER	Carga Normal	91	END	1746084765272	1746084765968
REQUEST	27	Login 100	login_100	1746084765262	1746084765969	OK	 
GROUP	27	Login 100	1746084765261	1746084765969	707	OK
USER	Carga Normal	27	END	1746084765261	1746084765970
REQUEST	196	Login 200	login_200	1746084765284	1746084765970	OK	 
GROUP	196	Login 200	1746084765284	1746084765971	686	OK
REQUEST	103	Login 200	login_200	1746084765274	1746084765972	OK	 
REQUEST	49	Login 100	login_100	1746084765266	1746084765972	OK	 
