ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1746167491661	 	3.3.1
USER	Consultar estado de cuentas	151	START	1746167493278	1746167493278
USER	Consultar estado de cuentas	190	START	1746167493283	1746167493283
USER	Consultar estado de cuentas	191	START	1746167493283	1746167493283
USER	Consultar estado de cuentas	200	START	1746167493284	1746167493284
USER	Consultar estado de cuentas	168	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	199	START	1746167493284	1746167493284
USER	Consultar estado de cuentas	198	START	1746167493284	1746167493284
USER	Consultar estado de cuentas	8	START	1746167493144	1746167493144
USER	Consultar estado de cuentas	7	START	1746167493144	1746167493144
USER	Consultar estado de cuentas	4	START	1746167493143	1746167493143
USER	Consultar estado de cuentas	21	START	1746167493157	1746167493157
USER	Consultar estado de cuentas	3	START	1746167493143	1746167493143
USER	Consultar estado de cuentas	17	START	1746167493148	1746167493148
USER	Consultar estado de cuentas	14	START	1746167493146	1746167493146
USER	Consultar estado de cuentas	16	START	1746167493148	1746167493148
USER	Consultar estado de cuentas	18	START	1746167493148	1746167493148
USER	Consultar estado de cuentas	24	START	1746167493173	1746167493173
USER	Consultar estado de cuentas	22	START	1746167493155	1746167493155
USER	Consultar estado de cuentas	20	START	1746167493155	1746167493155
USER	Consultar estado de cuentas	9	START	1746167493144	1746167493144
USER	Consultar estado de cuentas	11	START	1746167493145	1746167493145
REQUEST	49		ConsultarEstadoCuentas	1746167493265	1746167493740	OK	 
REQUEST	71		ConsultarEstadoCuentas	1746167493268	1746167493740	OK	 
REQUEST	6		ConsultarEstadoCuentas	1746167493250	1746167493709	OK	 
REQUEST	16		ConsultarEstadoCuentas	1746167493250	1746167493705	OK	 
USER	Consultar estado de cuentas	6	END	1746167493143	1746167493755
USER	Consultar estado de cuentas	16	END	1746167493148	1746167493755
USER	Consultar estado de cuentas	71	END	1746167493268	1746167493755
USER	Consultar estado de cuentas	49	END	1746167493265	1746167493756
REQUEST	56		ConsultarEstadoCuentas	1746167493266	1746167493756	OK	 
REQUEST	45		ConsultarEstadoCuentas	1746167493266	1746167493756	OK	 
USER	Consultar estado de cuentas	45	END	1746167493264	1746167493757
USER	Consultar estado de cuentas	56	END	1746167493266	1746167493757
REQUEST	120		ConsultarEstadoCuentas	1746167493274	1746167493796	OK	 
USER	Consultar estado de cuentas	120	END	1746167493274	1746167493797
REQUEST	152		ConsultarEstadoCuentas	1746167493278	1746167493798	OK	 
USER	Consultar estado de cuentas	152	END	1746167493278	1746167493799
REQUEST	168		ConsultarEstadoCuentas	1746167493281	1746167493868	OK	 
USER	Consultar estado de cuentas	168	END	1746167493280	1746167493870
REQUEST	19		ConsultarEstadoCuentas	1746167493250	1746167493873	OK	 
USER	Consultar estado de cuentas	19	END	1746167493152	1746167493875
REQUEST	5		ConsultarEstadoCuentas	1746167493250	1746167493879	OK	 
REQUEST	121		ConsultarEstadoCuentas	1746167493274	1746167493879	OK	 
REQUEST	83		ConsultarEstadoCuentas	1746167493271	1746167493879	OK	 
USER	Consultar estado de cuentas	83	END	1746167493269	1746167493880
USER	Consultar estado de cuentas	5	END	1746167493143	1746167493880
USER	Consultar estado de cuentas	121	END	1746167493274	1746167493880
REQUEST	94		ConsultarEstadoCuentas	1746167493271	1746167493882	OK	 
USER	Consultar estado de cuentas	94	END	1746167493270	1746167493884
REQUEST	23		ConsultarEstadoCuentas	1746167493250	1746167493884	OK	 
USER	Consultar estado de cuentas	23	END	1746167493157	1746167493885
REQUEST	17		ConsultarEstadoCuentas	1746167493250	1746167493925	OK	 
REQUEST	8		ConsultarEstadoCuentas	1746167493250	1746167493925	OK	 
REQUEST	7		ConsultarEstadoCuentas	1746167493250	1746167493925	OK	 
USER	Consultar estado de cuentas	8	END	1746167493144	1746167493927
USER	Consultar estado de cuentas	17	END	1746167493148	1746167493927
USER	Consultar estado de cuentas	7	END	1746167493144	1746167493927
REQUEST	35		ConsultarEstadoCuentas	1746167493264	1746167493942	OK	 
REQUEST	13		ConsultarEstadoCuentas	1746167493250	1746167493942	OK	 
USER	Consultar estado de cuentas	35	END	1746167493263	1746167493943
USER	Consultar estado de cuentas	13	END	1746167493145	1746167493944
REQUEST	52		ConsultarEstadoCuentas	1746167493266	1746167493946	OK	 
USER	Consultar estado de cuentas	52	END	1746167493265	1746167493948
REQUEST	68		ConsultarEstadoCuentas	1746167493268	1746167493957	OK	 
REQUEST	102		ConsultarEstadoCuentas	1746167493272	1746167493957	OK	 
USER	Consultar estado de cuentas	102	END	1746167493272	1746167493959
USER	Consultar estado de cuentas	68	END	1746167493267	1746167493959
REQUEST	100		ConsultarEstadoCuentas	1746167493272	1746167493960	OK	 
USER	Consultar estado de cuentas	100	END	1746167493272	1746167493961
REQUEST	65		ConsultarEstadoCuentas	1746167493268	1746167493970	OK	 
USER	Consultar estado de cuentas	65	END	1746167493267	1746167493971
REQUEST	59		ConsultarEstadoCuentas	1746167493267	1746167493976	OK	 
USER	Consultar estado de cuentas	59	END	1746167493266	1746167493977
REQUEST	169		ConsultarEstadoCuentas	1746167493280	1746167493997	OK	 
USER	Consultar estado de cuentas	169	END	1746167493280	1746167493999
REQUEST	165		ConsultarEstadoCuentas	1746167493280	1746167494000	OK	 
REQUEST	191		ConsultarEstadoCuentas	1746167493284	1746167494000	OK	 
USER	Consultar estado de cuentas	165	END	1746167493280	1746167494001
USER	Consultar estado de cuentas	191	END	1746167493283	1746167494001
REQUEST	79		ConsultarEstadoCuentas	1746167493271	1746167494002	OK	 
USER	Consultar estado de cuentas	79	END	1746167493269	1746167494002
REQUEST	187		ConsultarEstadoCuentas	1746167493283	1746167494003	OK	 
USER	Consultar estado de cuentas	187	END	1746167493282	1746167494004
